book_copies_CopiesID,book_copies_BookID,book_copies_BranchID,book_copies_No_Of_Copies
1,1,1,5
2,2,1,5
3,3,1,5
4,4,1,5
5,5,1,5
6,6,1,5
7,7,1,5
8,8,1,5
9,9,1,5
10,10,1,5
11,11,1,5
12,12,1,5
13,13,1,5
14,14,1,5
15,15,1,5
16,16,1,5
17,17,1,5
18,18,1,5
19,19,1,5
20,20,1,5
21,1,2,5
22,2,2,5
23,3,2,5
24,4,2,5
25,5,2,5
26,6,2,5
27,7,2,5
28,8,2,5
29,9,2,5
30,10,2,5
31,11,2,5
32,12,2,5
33,13,2,5
34,14,2,5
35,15,2,5
36,16,2,5
37,17,2,5
38,18,2,5
39,19,2,5
40,20,2,5
41,1,3,5
42,2,3,5
43,3,3,5
44,4,3,5
45,5,3,5
46,6,3,5
47,7,3,5
48,8,3,5
49,9,3,5
50,10,3,5
51,11,3,5
52,12,3,5
53,13,3,5
54,14,3,5
55,15,3,5
56,16,3,5
57,17,3,5
58,18,3,5
59,19,3,5
60,20,3,5
61,1,4,5
62,2,4,5
63,3,4,5
64,4,4,5
65,5,4,5
66,6,4,5
67,7,4,5
68,8,4,5
69,9,4,5
70,10,4,5
71,11,4,5
72,12,4,5
73,13,4,5
74,14,4,5
75,15,4,5
76,16,4,5
77,17,4,5
78,18,4,5
79,19,4,5
80,20,4,5
